"","INSPECTION_ID","ESTABLISHMENT_ID","IsED","MINIMUM_INSPECTIONS_PERYEAR","No_Infraction","Minor","Significant","Crucial","Total"
"38730","103873865","10410746",0,"3",1,0,0,0,0
"38731","103873867","9424427",0,"3",0,1,1,0,2
"38732","103873870","10550509",0,"2",1,0,0,0,0
"38733","103873906","10345392",0,"3",0,0,1,0,1
"38734","103873932","9001557",0,"2",1,0,0,0,0
"38735","103873949","9002441",0,"2",1,0,0,0,0
"38736","103873975","10557422",0,"2",1,0,0,0,0
"38737","103873981","10549737",0,"3",1,0,0,0,0
"38738","103873982","10561613",0,"2",1,0,0,0,0
"38739","103873994","10413993",0,"3",0,2,3,1,6
"38740","103873999","9093999",0,"1",1,0,0,0,0
"38741","103874006","10488422",0,"2",1,0,0,0,0
"38742","103874008","10519256",0,"2",0,1,0,0,1
"38743","103874010","10429514",0,"2",1,0,0,0,0
"38744","103874011","10490104",0,"3",0,1,0,0,1
"38745","103874014","10365023",0,"3",0,0,1,0,1
"38746","103874015","9010069",0,"3",1,0,0,0,0
"38747","103874026","9004032",0,"2",1,0,0,0,0
"38748","103874031","10370592",0,"3",0,2,1,0,3
"38749","103874034","9012785",0,"2",0,1,0,0,1
"38750","103874037","10234846",0,"2",0,1,1,0,2
"38751","103874039","10552470",0,"2",0,1,1,0,2
"38752","103874041","9006249",0,"2",1,0,0,0,0
"38753","103874043","9413162",0,"2",1,0,0,0,0
"38754","103874044","9016997",0,"2",1,0,0,0,0
"38755","103874045","10519416",0,"2",1,0,0,0,0
"38756","103874055","10453522",0,"2",1,0,0,0,0
"38757","103874056","10369889",0,"2",1,0,0,0,0
"38758","103874065","10477432",0,"3",0,2,4,1,7
"38759","103874071","10477432",0,"3",0,2,0,0,2
"38760","103874089","10538930",0,"2",0,3,7,2,12
"38761","103874090","10225168",0,"2",0,1,0,0,1
"38762","103874091","9002773",0,"2",1,0,0,0,0
"38763","103874092","9005804",0,"2",0,1,0,0,1
"38764","103874093","9004257",0,"3",1,0,0,0,0
"38765","103874094","10538930",0,"2",0,0,1,0,1
"38766","103874115","9011546",0,"3",1,0,0,0,0
"38767","103874117","10508988",0,"3",0,1,8,3,12
"38768","103874125","10508988",0,"3",0,0,1,1,2
"38769","103874128","10583097",0,"2",1,0,0,0,0
"38770","103874129","10375679",0,"3",1,0,0,0,0
"38771","103874131","10356237",0,"3",0,2,1,0,3
"38772","103874137","9337628",0,"3",0,2,0,0,2
"38773","103874138","10266132",0,"3",0,0,1,0,1
"38774","103874143","10413993",0,"3",0,3,5,2,10
"38775","103874153","9002557",0,"3",1,0,0,0,0
"38776","103874160","10583101",0,"2",0,2,0,0,2
"38777","103874172","10411486",1,"2",0,1,0,0,1
"38778","103874173","10545170",0,"3",0,2,0,0,2
"38779","103874175","9011940",0,"3",0,1,1,0,2
"38780","103874177","10450956",1,"2",0,2,1,1,4
"38781","103874209","10265033",0,"3",0,1,0,0,1
"38782","103874213","9001428",0,"2",0,3,0,0,3
"38783","103874239","10383121",0,"2",1,0,0,0,0
"38784","103874258","10583117",0,"1",1,0,0,0,0
"38785","103874266","10380663",0,"1",1,0,0,0,0
"38786","103874268","9002479",0,"1",0,1,0,0,1
"38787","103874271","10551447",0,"2",1,0,0,0,0
"38788","103874272","10440869",0,"2",0,1,1,0,2
"38789","103874276","9030789",0,"3",0,1,0,0,1
"38790","103874297","1222807",0,"3",1,0,0,0,0
"38791","103874298","9015719",0,"2",1,0,0,0,0
"38792","103874305","9050254",0,"3",1,0,0,0,0
"38793","103874306","10451373",0,"3",0,1,1,0,2
"38794","103874315","10294898",0,"3",0,3,3,0,6
"38795","103874328","10329042",0,"3",1,0,0,0,0
"38796","103874329","10322932",0,"3",0,1,0,0,1
"38797","103874344","9404206",0,"3",0,1,0,0,1
"38798","103874348","10451373",0,"3",1,0,0,0,0
"38799","103874359","10450956",1,"2",1,0,0,0,0
"38800","103874367","10548471",0,"3",0,2,0,0,2
"38801","103874369","9000287",0,"1",0,0,1,0,1
"38802","103874370","10501760",0,"2",1,0,0,0,0
"38803","103874371","10517400",0,"2",1,0,0,0,0
"38804","103874386","9069684",0,"2",0,2,0,0,2
"38805","103874399","9046403",0,"2",1,0,0,0,0
"38806","103874402","10550386",0,"2",0,1,2,0,3
"38807","103874412","10394486",0,"3",0,1,1,0,2
"38808","103874430","10360715",0,"2",0,2,3,2,7
"38809","103874432","10510636",0,"2",1,0,0,0,0
"38810","103874443","10360715",0,"2",0,1,3,0,4
"38811","103874454","10535956",0,"3",0,1,6,0,7
"38812","103874457","10535956",0,"3",0,2,4,0,6
"38813","103874486","9001994",0,"1",1,0,0,0,0
"38814","103874488","9420567",0,"2",1,0,0,0,0
"38815","103874525","10541572",0,"2",1,0,0,0,0
"38816","103874526","10470996",0,"2",1,0,0,0,0
"38817","103874533","9009103",0,"2",0,1,0,0,1
"38818","103874539","10583164",0,"2",0,0,2,0,2
"38819","103874541","10418132",0,"2",1,0,0,0,0
"38820","103874543","10550136",0,"3",0,3,2,0,5
"38821","103874553","9423075",0,"3",0,2,1,0,3
"38822","103874556","10318628",0,"2",1,0,0,0,0
"38823","103874557","10529709",0,"2",1,0,0,0,0
"38824","103874558","9069008",0,"2",1,0,0,0,0
"38825","103874559","10502287",0,"2",1,0,0,0,0
"38826","103874584","10526805",1,"3",1,0,0,0,0
"38827","103874615","10220481",0,"2",1,0,0,0,0
"38828","103874637","10550230",0,"3",1,0,0,0,0
"38829","103874638","10506745",0,"3",1,0,0,0,0
"38830","103874639","10491782",0,"3",0,1,0,0,1
"38831","103874640","10555456",0,"3",1,0,0,0,0
"38832","103874659","10583185",0,"1",1,0,0,0,0
"38833","103874669","10443259",0,"3",1,0,0,0,0
"38834","103874670","10340911",0,"2",1,0,0,0,0
"38835","103874673","10302321",0,"2",1,0,0,0,0
"38836","103874674","10495233",0,"3",1,0,0,0,0
"38837","103874690","9053839",1,"2",0,2,0,0,2
"38838","103874693","10430908",0,"2",0,1,0,0,1
"38839","103874694","10534438",0,"3",0,3,0,0,3
"38840","103874695","10460662",0,"3",0,1,1,0,2
"38841","103874696","10513041",0,"2",0,1,0,0,1
"38842","103874699","9014293",0,"3",0,1,0,0,1
"38843","103874711","10568026",0,"2",0,1,0,0,1
"38844","103874734","10558989",0,"2",1,0,0,0,0
"38845","103874736","10583194",0,"3",0,1,2,0,3
"38846","103874738","9030138",0,"3",0,1,0,0,1
"38847","103874742","9000198",0,"2",1,0,0,0,0
"38848","103874743","10458459",0,"2",1,0,0,0,0
"38849","103874747","10484704",0,"2",0,2,0,0,2
"38850","103874757","10561954",0,"3",0,1,7,2,10
"38851","103874758","10561954",0,"3",0,0,1,0,1
"38852","103874762","10495723",0,"3",0,1,6,2,9
"38853","103874764","10190625",0,"1",1,0,0,0,0
"38854","103874767","10495723",0,"3",0,1,0,0,1
"38855","103874772","10459696",0,"3",0,1,0,0,1
"38856","103874773","10576072",0,"3",0,1,1,4,6
"38857","103874782","10583199",0,"2",0,1,0,0,1
"38858","103874784","9018012",0,"2",1,0,0,0,0
"38859","103874796","10496713",0,"2",0,1,0,0,1
"38860","103874810","10583205",0,"2",1,0,0,0,0
"38861","103874829","10583208",0,"2",1,0,0,0,0
