field_1,lat,long,input_address,estblishment in ent dist_IsEnt
235,43.7715018,-79.2525339,"1601 ELLESMERE RD , Toronto, ON, Canada",
236,43.7309327,-79.4667604,"822 WILSON AVE , Toronto, ON, Canada",
237,43.6660463,-79.4077453,"400 BLOOR ST W, Toronto, ON, Canada",
238,43.7840475,-79.2882611,"2347 KENNEDY RD , Toronto, ON, Canada",
239,43.6655661,-79.378487,"440 JARVIS ST , Toronto, ON, Canada",
240,43.6665419,-79.3695392,"2 LANCASTER AVE , Toronto, ON, Canada",
241,43.7366542,-79.2455555,"2787 EGLINTON AVE E, Toronto, ON, Canada",
242,43.6637824,-79.3284447,"1296 QUEEN ST W, Toronto, ON, Canada",
243,43.6699439,-79.3890248,"50 BLOOR ST W, Toronto, ON, Canada",
244,43.708324,-79.3927485,"188 EGLINTON AVE E, Toronto, ON, Canada",
245,43.6554635,-79.4138026,"594 COLLEGE ST , Toronto, ON, Canada",
246,43.6512716,-79.4403565,"258 LANSDOWNE AVE , Toronto, ON, Canada",
247,43.7394726,-79.5124759,"1947 SHEPPARD AVE W, Toronto, ON, Canada",
248,43.6710199,-79.3910854,"75 YORKVILLE AVE , Toronto, ON, Canada",
249,43.6466369,-79.3744421,"45 THE ESPLANADE  , Toronto, ON, Canada",
250,43.6534829,-79.3840939,"100 QUEEN ST W, Toronto, ON, Canada",
251,43.6451287,-79.4483681,"195 RONCESVALLES AVE , Toronto, ON, Canada",
252,43.7793411,-79.4155249,"5586 YONGE ST , Toronto, ON, Canada",
253,43.7322453,-79.4606652,"628 WILSON AVE , Toronto, ON, Canada",
254,43.6481336,-79.5085891,"2962 BLOOR ST W, Toronto, ON, Canada",
255,43.7616575,-79.2695383,"1770 MIDLAND AVE , Toronto, ON, Canada",
256,43.6492549,-79.4226414,"1209 DUNDAS ST W, Toronto, ON, Canada",
257,43.6663495,-79.4512329,"337 SYMINGTON AVE , Toronto, ON, Canada",
258,43.6846633,-79.4586276,"30 CORBY AVE , Toronto, ON, Canada",
259,43.7378669,-79.5033415,"35 CALICO DR , Toronto, ON, Canada",
260,43.7560971,-79.4739801,"3703 CHESSWOOD DR , Toronto, ON, Canada",
261,43.6525425,-79.4124285,"244 CLAREMONT ST , Toronto, ON, Canada",
262,43.7083419,-79.4530944,"2899 DUFFERIN ST , Toronto, ON, Canada",
263,43.6939227,-79.2876818,"30 DENTON AVE , Toronto, ON, Canada",
264,43.6464505,-79.3917594,"370 KING ST W, Toronto, ON, Canada",1
265,43.6287432,-79.4843175,"165 THE QUEENSWAY  , Toronto, ON, Canada",
266,43.7823273,-79.162725,"45 LAWSON RD , Toronto, ON, Canada",
267,43.7072875,-79.311918,"850 O'CONNOR DR , Toronto, ON, Canada",
268,43.6544866,-79.3814763,"14 TRINITY SQ , Toronto, ON, Canada",
269,43.6900697,-79.3965271,"32 HEATH ST W, Toronto, ON, Canada",
270,43.7269839,-79.2524359,"20 GORDONRIDGE PL , Toronto, ON, Canada",
271,43.6401871,-79.5380531,"5230 DUNDAS ST W, Toronto, ON, Canada",
272,43.6500952,-79.3848513,"133 RICHMOND ST W, Toronto, ON, Canada",
273,43.6473609,-79.3811225,"66 WELLINGTON ST W, Toronto, ON, Canada",
274,43.6625541,-79.4449107,"662 LANSDOWNE AVE , Toronto, ON, Canada",
275,43.6214409,-79.5253974,"1260 THE QUEENSWAY  , Toronto, ON, Canada",
276,43.6142913,-79.5601256,"1900 THE QUEENSWAY  , Toronto, ON, Canada",
277,43.6550376,-79.4139296,"597 COLLEGE ST , Toronto, ON, Canada",
278,43.7600856,-79.5700558,"173 MILLWICK DR , Toronto, ON, Canada",
279,43.6525658,-79.5637167,"7 CAPRI RD , Toronto, ON, Canada",
280,43.7391522,-79.5260877,"84 OAKDALE RD , Toronto, ON, Canada",
281,43.656797,-79.364719,"219 PARLIAMENT ST , Toronto, ON, Canada",
282,43.6704952,-79.2991212,"2 WHEELER AVE , Toronto, ON, Canada",
