"","ESTABLISHMENT_ID","IsED","Inspection","Minor","Significant","Crucial","Total"
"1944","10330229",0,4,2,1,0,3
"1945","10330268",0,2,2,1,0,3
"1946","10330303",0,6,0,0,0,0
"1947","10330305",0,3,3,0,0,3
"1948","10330511",0,4,3,0,0,3
"1949","10330522",0,4,6,3,0,9
"1950","10330575",0,2,0,0,0,0
"1951","10330614",0,1,2,0,0,2
"1952","10330753",0,4,3,2,0,5
"1953","10330788",0,3,1,0,0,1
"1954","10330843",0,5,3,6,0,9
"1955","10330854",0,5,5,0,0,5
"1956","10330880",0,4,0,0,0,0
"1957","10330891",1,4,3,0,0,3
"1958","10330988",0,1,0,0,0,0
"1959","10331259",0,3,0,0,0,0
"1960","10331262",0,4,1,0,0,1
"1961","10331291",1,1,0,0,0,0
"1962","10331300",0,7,9,2,1,12
"1963","10331342",0,5,1,0,0,1
"1964","10331360",0,3,0,0,0,0
"1965","10331461",0,2,2,0,0,2
"1966","10331556",0,2,6,0,0,6
"1967","10331649",0,6,1,1,0,2
"1968","10331707",1,4,0,0,0,0
"1969","10331809",0,2,0,0,0,0
"1970","10331811",0,2,0,0,0,0
"1971","10331991",0,5,6,4,0,10
"1972","10332007",0,6,8,2,0,10
"1973","10332080",0,5,4,2,0,6
"1974","10332092",0,1,0,0,0,0
"1975","10332094",0,4,5,1,0,6
"1976","10332101",0,3,1,0,0,1
"1977","10332127",1,5,8,3,0,11
"1978","10332140",0,5,0,0,1,1
"1979","10332148",0,1,1,0,0,1
"1980","10332179",0,4,6,2,0,8
"1981","10332280",0,1,0,0,0,0
"1982","10332355",0,3,2,4,0,6
"1983","10332437",0,3,6,4,0,10
"1984","10332459",0,6,5,8,0,13
"1985","10332581",0,3,5,1,0,6
"1986","10332722",0,2,2,0,0,2
"1987","10332835",0,2,0,0,0,0
"1988","10332932",0,4,2,3,0,5
"1989","10332939",0,4,0,0,0,0
"1990","10332956",0,4,1,2,0,3
"1991","10332957",0,3,1,0,0,1
"1992","10332976",0,2,0,0,0,0
"1993","10333074",0,5,0,0,0,0
"1994","10333174",0,4,1,1,0,2
"1995","10333262",0,1,0,0,0,0
"1996","10333380",0,2,1,1,0,2
"1997","10333420",0,5,4,7,0,11
"1998","10333451",0,6,6,2,0,8
"1999","10333481",0,4,2,0,0,2
"2000","10333486",0,1,0,0,0,0
"2001","10333534",0,4,0,0,0,0
"2002","10333589",0,4,4,3,2,9
"2003","10333675",0,3,1,0,0,1
"2004","10333841",0,5,1,1,0,2
"2005","10333880",0,2,0,0,0,0
"2006","10333957",0,4,2,0,0,2
"2007","10334029",0,6,12,3,0,15
"2008","10334030",0,6,11,4,1,16
"2009","10334117",0,6,3,2,0,5
"2010","10334224",0,5,5,3,0,8
"2011","10334437",0,5,1,6,0,7
"2012","10334550",0,4,0,0,0,0
"2013","10334585",1,4,1,3,0,4
"2014","10334587",0,4,3,1,0,4
"2015","10334647",1,4,0,0,0,0
"2016","10334651",1,2,0,0,0,0
"2017","10334654",1,3,0,0,0,0
"2018","10334676",1,3,0,1,0,1
"2019","10334767",0,6,3,3,1,7
"2020","10334786",1,4,2,1,0,3
"2021","10334795",1,3,0,0,0,0
"2022","10334797",0,5,4,2,0,6
"2023","10334864",0,6,0,4,0,4
"2024","10334944",0,4,0,0,0,0
"2025","10334961",0,3,5,3,0,8
"2026","10335035",0,3,1,6,0,7
"2027","10335067",0,4,1,0,0,1
"2028","10335091",0,1,1,0,0,1
"2029","10335240",0,4,4,4,0,8
"2030","10335452",0,3,1,0,0,1
"2031","10335454",0,4,2,1,0,3
"2032","10335485",0,6,3,8,0,11
"2033","10335565",0,3,3,1,0,4
"2034","10335639",0,6,5,4,0,9
"2035","10335825",0,3,0,0,0,0
"2036","10335829",0,1,0,0,0,0
"2037","10335838",0,4,0,0,0,0
"2038","10335938",0,1,0,0,0,0
"2039","10335960",0,4,7,2,0,9
"2040","10336015",0,9,3,5,0,8
"2041","10336016",0,3,4,1,0,5
"2042","10336033",0,1,0,0,0,0
"2043","10336062",0,4,0,0,0,0
"2044","10336135",0,4,0,0,0,0
"2045","10336138",0,1,0,0,0,0
"2046","10336231",0,4,9,3,0,12
"2047","10336494",0,5,5,2,0,7
"2048","10336522",0,13,20,19,4,43
"2049","10336528",0,4,0,1,0,1
"2050","10336535",0,4,7,0,0,7
"2051","10336594",0,3,0,0,0,0
"2052","10336645",0,4,2,0,0,2
"2053","10336669",0,6,4,1,0,5
"2054","10336708",0,4,1,0,0,1
"2055","10336736",0,1,0,0,0,0
