"","ESTABLISHMENT_ID","IsED","theta","psi","min_inspection","inspection","Total"
"9842",10490599,0,0.612258244047106,1.06386127605278,2,4,0
"9843",10490614,0,0.612143899822278,1.27856587420337,3,5,14
"9844",10490633,0,0.614383803427626,0.953919271579219,2,4,0
"9845",10490636,0,0.610435523451884,0.913831725216435,1,1,0
"9846",10490657,0,0.61299276978599,0.935652767113406,3,6,12
"9847",10490686,0,0.613165576285089,1.34936912936582,3,5,2
"9848",10490733,0,0.612425559947364,1.11792168482251,2,4,2
"9849",10490750,0,0.61178730230725,0.804995349161631,2,5,0
"9850",10490787,0,0.611477233372798,0.690308214934916,1,2,0
"9851",10490843,0,0.610469705813432,0.89188225545507,2,5,0
"9852",10490950,0,0.61221929900695,1.25748923128165,3,6,20
"9853",10490954,0,0.613727997345722,1.5666091420281,3,7,1
"9854",10490957,0,0.613333525681006,0.817233105138147,2,4,1
"9855",10490959,0,0.612369445205673,2.19163842375393,2,4,1
"9856",10491035,0,0.613264993731993,1.98031045376458,1,3,4
"9857",10491234,0,0.612697298748964,1.33663610668644,3,3,4
"9858",10491275,0,0.611978038769301,0.853367215248848,2,3,1
"9859",10491279,0,0.614165734430181,0.836466440276639,2,3,1
"9860",10491406,0,0.611164376460615,2.24419310845307,2,2,0
"9861",10491407,0,0.610786319791439,1.83212230064849,2,4,2
"9862",10491409,0,0.613280722951259,1.28114510356515,2,3,4
"9863",10491412,0,0.613258692549571,0.957401304300143,2,2,0
"9864",10491431,0,0.614560490146929,1.28001797774546,2,2,2
"9865",10491438,0,0.612653517556701,1.56846466840441,2,2,7
"9866",10491443,0,0.611176367685277,0.761160080525832,2,3,3
"9867",10491448,0,0.613073629701991,0.818280514546218,3,4,2
"9868",10491537,0,0.613465821288626,1.22998463236522,3,9,14
"9869",10491544,0,0.614942170344893,1.09343674172267,3,7,20
"9870",10491578,0,0.613658201093646,1.75679745917466,2,4,6
"9871",10491604,0,0.612177532712493,0.759090270745966,2,4,2
"9872",10491653,0,0.610038802664545,0.89247348196362,2,3,4
"9873",10491657,0,0.6128081524233,0.998591890527785,2,4,5
"9874",10491670,0,0.612474414889124,2.38172247138999,2,4,0
"9875",10491674,0,0.610837532549477,1.01155273345884,3,3,2
"9876",10491695,0,0.608728486416984,1.55939568381558,1,1,1
"9877",10491699,0,0.615583479964247,1.2997102729529,2,7,1
"9878",10491701,0,0.615397382801319,1.9398807321899,1,2,1
"9879",10491714,0,0.611307684354975,1.7969470025499,1,2,1
"9880",10491722,0,0.614064741714585,1.55441515041217,2,6,7
"9881",10491745,0,0.610912531212285,0.579655061377254,2,2,9
"9882",10491752,0,0.613913219157791,1.14036538035233,1,3,0
"9883",10491758,0,0.611154554848425,1.36973959066391,1,3,4
"9884",10491759,0,0.611573920941811,1.78915243074067,2,4,2
"9885",10491762,0,0.613250532379852,1.02759814732394,2,5,4
"9886",10491779,0,0.613262952692723,0.872927538475057,2,4,0
"9887",10491782,0,0.610864001690132,0.932697008967862,3,3,4
"9888",10491808,0,0.611879563218632,1.18498757669495,1,2,0
"9889",10491823,0,0.613145322911187,1.14922092013311,1,3,5
"9890",10491848,0,0.611447195374534,1.08181038373631,2,4,3
